"search-number","evaluation","evals-requested-so-far","number*","%-similar-wanted*","number-of-ethnicities*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","119","160","1240","51","3","""1844898335""","49.2","79.75806451612904","64.44280992672056","13.576946076155728","49.2"
"1","120","160","1240","51","3","""-806308152""","42.627737226277375","83.38709677419355","62.95354365334506","16.529957432923993","42.627737226277375"
"1","121","160","1340","49","3","""70800445""","35.86065573770492","69.40298507462687","52.608492756054055","16.771213339362568","35.86065573770492"
"1","122","160","1340","49","3","""-405122097""","48.82671480144404","66.71641791044776","57.7715663559459","12.649930381790591","48.82671480144404"
"1","123","160","1340","49","3","""-1367433620""","36.787564766839374","68.43283582089552","52.62842018988935","15.822666997538818","36.787564766839374"
"1","124","160","1340","49","3","""-2024126191""","46.63072776280324","67.46268656716417","57.0467071649837","14.730419335962416","46.63072776280324"
"1","125","160","1340","49","3","""1454322430""","45.57640750670242","64.25373134328358","54.91506942499299","13.206862339263681","45.57640750670242"
"1","126","160","1340","49","3","""1874157045""","49.10394265232975","68.65671641791045","58.8803295351201","13.825898920648536","49.10394265232975"
"1","127","160","1340","49","3","""-222234013""","46.01611459265891","66.86567164179105","56.44089311722498","14.742863174177122","46.01611459265891"
"1","128","160","1340","49","3","""1817461351""","45.067873303167424","67.08955223880596","56.0787127709867","15.571678508502965","45.067873303167424"
"1","129","160","1340","49","3","""1268566119""","45.909090909090914","65.97014925373135","55.939620081411135","14.185310393274229","45.909090909090914"
"1","130","160","1340","49","3","""980223599""","49.45750452079566","69.32835820895522","59.39293136487544","14.050815390863345","49.45750452079566"
"1","131","160","1170","1","3","""-1909399689""","27.435897435897438","27.435897435897438","27.435897435897438","0","27.435897435897438"
"1","132","160","1170","1","3","""-614812998""","25.384615384615383","25.384615384615383","25.384615384615383","0","25.384615384615383"
"1","133","160","1170","1","3","""1336388455""","26.410256410256412","26.410256410256412","26.410256410256412","0","26.410256410256412"
"1","134","160","1170","1","3","""-1651973027""","25.213675213675213","25.213675213675213","25.213675213675213","0","25.213675213675213"
"1","135","160","1170","1","3","""-154059096""","28.205128205128204","28.205128205128204","28.205128205128204","0","28.205128205128204"
"1","136","160","1170","1","3","""-400421702""","27.77777777777778","27.77777777777778","27.77777777777778","0","27.77777777777778"
"1","137","160","1170","1","3","""1435334650""","25.47008547008547","25.47008547008547","25.47008547008547","0","25.47008547008547"
"1","138","160","1170","1","3","""-786507501""","25.47008547008547","25.47008547008547","25.47008547008547","0","25.47008547008547"
"1","139","160","1170","1","3","""1175519719""","27.00854700854701","27.00854700854701","27.00854700854701","0","27.00854700854701"
"1","140","160","1170","1","3","""229774864""","25.128205128205128","25.128205128205128","25.128205128205128","0","25.128205128205128"
"1","141","160","1680","0","3","""632205777""","0","0","0","0","0"
"1","142","160","1680","0","3","""-1629069558""","0","0","0","0","0"
"1","143","160","1680","0","3","""1135241006""","0","0","0","0","0"
"1","144","160","1680","0","3","""-916807810""","0","0","0","0","0"
"1","145","160","1680","0","3","""1352706838""","0","0","0","0","0"
"1","146","160","1680","0","3","""-538261124""","0","0","0","0","0"
"1","147","160","1680","0","3","""1877782104""","0","0","0","0","0"
"1","148","160","1680","0","3","""193444305""","0","0","0","0","0"
"1","149","160","1680","0","3","""1346119248""","0","0","0","0","0"
"1","150","160","1680","0","3","""-1417974364""","0","0","0","0","0"
"1","151","160","890","41","4","""964716350""","44.25036390101892","68.98876404494382","57.00658006362023","12.387350595808453","44.25036390101892"
"1","152","160","890","41","4","""817031592""","42.857142857142854","66.17977528089888","54.87377790748577","11.677544700163349","42.857142857142854"
"1","153","160","890","41","4","""310988047""","46.186440677966104","70.56179775280899","58.580649707533006","12.19292715733514","46.186440677966104"
"1","154","160","890","41","4","""693392641""","44.09672830725462","68.87640449438203","56.36000101021475","12.391777288953275","44.09672830725462"
"1","155","160","890","41","4","""1233616196""","43.899018232819074","69.88764044943821","57.401248036464324","13.024057178266375","43.899018232819074"
"1","156","160","890","41","4","""-175569789""","46.68630338733431","70.33707865168539","58.351490040640414","11.82864259803729","46.68630338733431"
"1","157","160","890","41","4","""-2119409370""","38.3601756954612","69.7752808988764","53.41966957262991","15.747607725199538","38.3601756954612"
"1","158","160","890","41","4","""337508378""","41.973490427098675","70.11235955056179","56.13091401509359","14.070259951154947","41.973490427098675"
"1","159","160","890","41","4","""78845037""","40.98837209302326","72.80898876404494","57.623573310142426","15.959771940740412","40.98837209302326"
"1","160","160","890","41","4","""-1696371214""","40.72463768115942","70.2247191011236","55.083247297132424","14.76561396793917","40.72463768115942"
"1","161","170","1270","94","3","""-1790693808""","47.05882352941176","96.2992125984252","76.33259385293252","16.685487356482987","47.05882352941176"
"1","162","170","1270","94","3","""1681908433""","49.353448275862064","95.65217391304348","76.12901801147083","17.07539725921682","49.353448275862064"
"1","163","170","1270","94","3","""-827174519""","47.89719626168225","95.11811023622047","73.41562664310345","17.27048297779925","47.89719626168225"
"1","164","170","1270","94","3","""1528982876""","45.97457627118644","94.80314960629921","75.54756109764965","17.2662343674294","45.97457627118644"
"1","165","170","1270","94","3","""1870367435""","39.726027397260275","96.66975023126734","74.51444581594984","19.357839993402347","39.726027397260275"
"1","166","170","1270","94","3","""-19245419""","48.604651162790695","95.19685039370079","74.52401446850715","17.192822797604357","48.604651162790695"
"1","167","170","1270","94","3","""-2017591124""","46.80365296803653","95.66929133858267","75.2326653577043","17.168095105329417","46.80365296803653"
"1","168","170","1270","94","3","""-986819493""","47.906976744186046","95.74803149606299","75.1060996528878","17.03620082512461","47.906976744186046"
"1","169","170","1270","94","3","""-1428947369""","46.860986547085204","96.37795275590551","74.33337226276264","17.624505612752777","46.860986547085204"
"1","170","170","1270","94","3","""-1755944691""","47.963800904977376","95.90551181102363","75.73569588462168","16.996686991320214","47.963800904977376"
"1","171","180","2270","34","5","""-704250193""","45.06802721088435","84.58149779735683","64.21211498119756","15.391273542976379","45.06802721088435"
"1","172","180","2270","34","5","""421907939""","46.15384615384615","84.14096916299559","65.35211255419536","14.859176854560987","46.15384615384615"
"1","173","180","2270","34","5","""1410875447""","41.36752136752136","82.29074889867842","63.63980466064707","16.076415027338747","41.36752136752136"
"1","174","180","2270","34","5","""620104848""","44.37869822485207","82.95154185022027","63.528168255247394","14.833348599582447","44.37869822485207"
"1","175","180","2270","34","5","""1366803111""","40.41095890410959","82.77533039647577","61.757046378728646","16.596943840519486","40.41095890410959"
"1","176","180","2270","34","5","""659800531""","43.261802575107296","82.55506607929516","62.68216931033932","15.120965670630163","43.261802575107296"
"1","177","180","2270","34","5","""-1744265335""","48.78863826232247","84.8898678414097","67.17465969575136","14.585052936089209","48.78863826232247"
"1","178","180","2270","34","5","""1313808697""","41.27906976744186","84.5374449339207","63.6147568861673","16.623934920669566","41.27906976744186"
"1","179","180","2270","34","5","""1556558717""","45.251857968620975","85.06607929515418","65.39616903655669","15.298194529953856","45.251857968620975"
"1","180","180","2270","34","5","""-126258223""","46.30705394190871","83.568281938326","66.5605850503928","14.675590583161492","46.30705394190871"
"1","181","190","1010","90","2","""482801149""","47.22689075630252","81.28712871287128","64.6225621368504","13.906694342381307","47.22689075630252"
"1","182","190","1010","90","2","""1502928692""","42.592592592592595","83.66336633663366","64.96345679620651","16.620847178429635","42.592592592592595"
"1","183","190","1010","90","2","""-580968888""","43.63929146537842","80.2970297029703","63.848799611988305","14.272362342123502","43.63929146537842"
"1","184","190","1010","90","2","""-27412257""","46.766169154228855","82.47524752475248","64.259862738715","15.26976160933153","46.766169154228855"
"1","185","190","1010","90","2","""-1865840262""","42.32081911262799","81.68316831683168","64.43938417885128","15.718593093752627","42.32081911262799"
"1","186","190","1010","90","2","""-460004715""","46.833333333333336","82.67326732673267","66.78499259201962","14.121780029991784","46.833333333333336"
"1","187","190","1010","90","2","""-497943172""","44.01349072512647","83.76237623762376","64.82871778548335","16.781521949459513","44.01349072512647"
"1","188","190","1010","90","2","""-408238476""","46.57762938230384","80.990099009901","64.81964619095488","13.622496031076023","46.57762938230384"
"1","189","190","1010","90","2","""-2079228171""","48.275862068965516","84.15841584158416","67.8632680733871","13.64850140957884","48.275862068965516"
"1","190","190","1010","90","2","""-1218009480""","41.63934426229508","84.75247524752476","63.657765292873236","17.17184922486653","41.63934426229508"
"1","191","200","1760","52","3","""-2120410542""","44.55555555555556","84.6590909090909","65.49865432684336","15.79885667473345","44.55555555555556"
"1","192","200","1760","52","3","""-1362043891""","43.54838709677419","86.13636363636363","66.13879251745745","17.12839481644163","43.54838709677419"
"1","193","200","1760","52","3","""1161928465""","47.0314318975553","83.52272727272727","65.17715635829362","15.191508255213256","47.0314318975553"
"1","194","200","1760","52","3","""1661106956""","41.63783160322952","83.06818181818181","63.67931769807207","16.424055123763875","41.63783160322952"
"1","195","200","1760","52","3","""-1933236998""","43.73601789709172","82.67045454545455","63.19739356796865","15.412984142201255","43.73601789709172"
"1","196","200","1760","52","3","""380465894""","46.31101021566402","85.11363636363637","66.14140289290687","15.34900720040791","46.31101021566402"
"1","197","200","1760","52","3","""1142054462""","48.44533600802407","83.52272727272727","66.68462967341324","15.500900226882287","48.44533600802407"
"1","198","200","1760","52","3","""1170429538""","47.28506787330316","85.39772727272728","67.0178077924825","15.09412004815063","47.28506787330316"
"1","199","200","1760","52","3","""-17361040""","45.017182130584196","84.60227272727273","65.26333469019659","15.51890227552778","45.017182130584196"
"1","200","200","1760","52","3","""-842040749""","41.33180252583238","84.48863636363636","64.33502458853751","17.15190934431119","41.33180252583238"
"1","201","210","1240","51","5","""-666702329""","45.91836734693878","93.38709677419355","72.31967160983551","16.932766565274758","45.91836734693878"
"1","202","210","1240","51","5","""-321015667""","43.78109452736319","93.46774193548387","73.43340384933958","16.321059629027847","43.78109452736319"
"1","203","210","1240","51","5","""-947028368""","48.66666666666667","94.43548387096774","74.3152934052832","15.636214205394419","48.66666666666667"
"1","204","210","1240","51","5","""-830015895""","48.64864864864865","93.95161290322581","73.48695469903929","14.74768660679714","48.64864864864865"
"1","205","210","1240","51","5","""415816980""","44.06392694063927","92.8225806451613","71.02000843936737","15.589020187289504","44.06392694063927"
"1","206","210","1240","51","5","""-2121200886""","44.61883408071749","91.53225806451613","71.41867976021804","16.25896870248907","44.61883408071749"
"1","207","210","1240","51","5","""-340638989""","48.68995633187773","95.08064516129032","74.21828932304284","15.53640683471247","48.68995633187773"
"1","208","210","1240","51","5","""539430136""","49.54545454545455","94.75806451612904","73.56876799291017","14.238993702651195","49.54545454545455"
"1","209","210","1240","51","5","""750919281""","37.72727272727273","93.54838709677419","72.54020964128235","18.179914024857542","37.72727272727273"
"1","210","210","1240","51","5","""153378378""","46.41255605381166","93.24074074074075","74.46630705279553","16.269452639745655","46.41255605381166"
"1","211","220","1480","16","5","""-1364101655""","41.01351351351351","41.01351351351351","41.01351351351351","0","41.01351351351351"
"1","212","220","1480","16","5","""-852570855""","41.62162162162162","41.62162162162162","41.62162162162162","0","41.62162162162162"
"1","213","220","1480","16","5","""781729435""","41.75675675675676","41.75675675675676","41.75675675675676","0","41.75675675675676"
"1","214","220","1480","16","5","""-134255140""","39.52702702702703","39.52702702702703","39.52702702702703","0","39.52702702702703"
"1","215","220","1480","16","5","""-498061210""","43.17567567567567","43.17567567567567","43.17567567567567","0","43.17567567567567"
"1","216","220","1480","16","5","""161066336""","39.5945945945946","39.5945945945946","39.5945945945946","0","39.5945945945946"
"1","217","220","1480","16","5","""1092723733""","40.74324324324324","40.74324324324324","40.74324324324324","0","40.74324324324324"
"1","218","220","1480","16","5","""943279724""","43.04054054054054","43.04054054054054","43.04054054054054","0","43.04054054054054"
